,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
57,57,57,57,57,57,236553612,17 26 45.902,-26 48 26.13,1,13.06,,,,17264590-2648261,STAR,J,rpm,0,3,-6,0,,,,,,,,,,,,,11.533,0.021,10.355,0.024,9.699,0.02,22980,229,229,3.349,0.02,0.02,0.369,0.05,0.05,13.308,0.266,0.266,14.46,0.289,0.289,0.006,3.68E-04,3.68E-04,7733,232,232,6.537,0.001,0.001,AAA-222-111-000-0-0,8.8,0631-0596556
58,58,58,58,58,58,236554530,17 25 21.369,-26 48 13.64,1,14.268,,,316-114030,17252135-2648134,STAR,J,rpm,12.5,3.8,-73.4,3.7,,,,,,,,,,,,,12.932,0.026,12.205,0.029,11.912,0.029,3775,385,275,4.936,0.12,0.144,-0.163,0.2,0.28,0.312,0.154,0.103,0.331,0.182,0.151,9.19,8.524,4.422,147.7,86.59,47.14,0.1,0.085,0.047,AAA-222-111-000-0-0,11,
59,59,59,59,59,59,236558159,17 12 35.809,-26 47 23.54,1,11.648,,6820-400-1,317-109354,17123581-2647235,STAR,gri,rpm,-7.4,4.3,-0.7,4,,,12.211,0.174,11.814,0.188,12.209,0.04,11.662,0.04,11.407,0.07,10.333,0.027,10.046,0.022,9.949,0.019,6302,373,213,3.905,0.32,0.24,-0.003,0.12,0.12,2.247,0.777,0.85,1.513,0.246,0.344,0.12,0.293,0.065,508.2,223.7,195.7,0.348,0.126,0.126,AAA-222-111-000-0-0,10.2,
60,60,60,60,60,60,236561525,17 13 23.671,-26 46 36.79,1,12.953,,,317-109683,17132367-2646367,STAR,gri,rpm,10.7,1.6,-56.9,1.6,,,14.343,0.01,13.325,0.04,13.845,0.03,13.007,0.02,12.571,0.05,11.21,0.022,10.752,0.025,10.653,0.023,4922,527,146,4.619,0.05,0.06,-0.341,0.3,0.6,0.687,0.1,0.073,0.716,0.1,0.086,2.215,0.606,0.476,242.8,104,62.39,0.152,0.273,0.062,AAA-222-111-000-0-0,9.6,
61,61,61,61,61,61,236564764,17 18 40.608,-26 45 50.85,1,15.746,,,,17184060-2645508,STAR,J,rpm,-91.3,9,-33.1,9,,,,,,,,,,,,,14.375,0.031,13.481,0.031,13.087,0.037,2315,1515,86,5.347,0.02,0.02,0.047,0.05,0.05,0.102,0.162,0.003,0.076,0.002,0.002,83.83,5.03,5.03,80.94,2.428,2.428,0.085,0.001,0.001,AAA-222-111-000-0-0,8,0632-0562932
62,62,62,62,62,62,236566751,17 26 03.863,-26 45 22.77,1,13.926,,,,17260386-2645227,STAR,J,rpm,-22,7,-10,5,,,,,,,,,,,,,12.561,0.022,11.525,0.023,11.095,0.022,4115,523,237,1.58,0.858,0.234,0.246,0.25,0.4,29.654,6.627,16.42,1.241,1.409,0.249,4.71E-05,7.31E-04,2.60E-05,7303,1558,4062,1.823,0.659,0.366,AAA-222-111-000-0-0,9.4,0632-0578733
63,63,63,63,63,63,236570290,17 23 44.538,-26 44 31.26,1,11.197,,6833-412-1,317-113408,17234453-2644312,STAR,gri,rpm,2.7,3.2,6.4,3.1,,,12.855,0.363,11.545,0.155,11.966,0.01,11.315,0.07,10.868,0.07,9.51,0.023,9.172,0.025,9.046,0.026,6314,63,560,3.622,0.065,0.559,0.042,0.08,0.06,3.533,4.125,0.594,1.77,0.842,0.383,0.042,0.019,0.037,494.6,554.6,88.11,0.558,0.02,0.323,AAA-222-111-000-0-0,7,
64,64,64,64,64,64,236572315,17 23 48.437,-26 44 01.57,1,11.411,,,317-113424,17234843-2644014,STAR,gri,rpm,-15.6,1.7,-14.4,1.8,,,12.586,0.03,11.748,0.07,12.153,0.01,11.407,0.01,11.092,0.12,9.626,0.023,9.282,0.024,9.102,0.021,5807,557,417,3.726,0.594,0.154,0.039,0.1,0.08,2.621,0.685,1.357,1.311,0.234,0.049,0.073,0.506,0.032,360.4,117.3,135.1,0.359,0.266,0.118,AAA-222-111-000-0-0,5.5,
65,65,65,65,65,65,236573605,17 27 46.977,-26 43 43.05,1,13.777,,,317-113822,17274696-2643428,STAR,gri,rpm,16.6,6.7,-59.7,12.2,,,16.285,0.075,14.637,0.041,15.441,0.06,14.036,0.06,13.063,0.1,11.434,0.022,10.795,0.025,10.589,0.023,3701,37,37,4.969,0.02,0.02,0.044,0.05,0.05,0.32,0.006,0.006,0.349,0.007,0.007,10.58,0.635,0.635,65.02,1.951,1.951,0.027,0.001,0.001,AAA-222-111-000-0-0,9.6,
66,66,66,66,66,66,236577244,17 26 57.365,-26 42 52.04,1,12.704,,,,17265736-2642520,STAR,J,rpm,-20,4,-2,9,,,,,,,,,,,,,11.091,0.025,9.777,0.025,9.318,0.023,3375,215,107,0.479,0.114,0.171,0.157,0.3,0.42,98.953,16.56,11.971,1.063,0.145,0.039,1.07E-06,5.28E-07,4.43E-07,8913,1152,858.7,1.826,0.198,0.238,AAA-222-111-000-0-0,8,0632-0580956
67,67,67,67,67,67,236577508,17 12 55.607,-26 42 48.30,1,12.217,,,317-109475,17125562-2642481,STAR,gri,rpm,-40.7,3.1,-23.7,3.9,,,13.635,0.03,12.578,0.02,13.12,0.03,12.178,0.03,11.831,0.05,10.576,0.023,10.052,0.027,9.919,0.023,4863,192,57,4.598,0.025,0.035,-0.046,0.2,0.28,0.75,0.015,0.056,0.815,0.016,0.089,1.936,0.236,0.116,263.6,120.2,82.57,0.17,0.119,0.119,AAA-222-111-000-0-0,7.4,
68,68,68,68,68,68,236580587,17 20 20.791,-26 42 05.43,1,15.81,,,,17202079-2642054,STAR,JHK,rpm,-4,5,-46,9,,,,,,,,,,,,,12.936,0.026,12.02,0.024,11.758,0.027,4397,106,238,1.66,0.121,0.066,-0.654,0.72,0.2,23.415,2.628,1.713,0.926,0.132,0.029,7.10E-05,3.42E-05,1.39E-05,8217,834.3,311.8,1.39,0.115,0.384,AAA-222-111-000-0-0,6.6,0632-0566210
69,69,69,69,69,69,236581845,17 20 31.310,-26 41 48.88,1,11.11,,6833-445-1,317-112598,17203130-2641488,STAR,gri,plx,-10.5,3,-52.5,2.8,,,11.923,0.156,11.14,0.104,11.434,0.01,10.93,0.03,10.972,0.32,9.724,0.022,9.362,0.024,9.313,0.023,5629,113,68,4.524,0.02,0.036,-0.372,0.15,0.18,0.84,0.028,0.018,0.844,0.05,0.042,1.449,0.087,0.158,128.9,3.899,3.899,0,0,0,AAA-222-111-000-0-0,8.5,
70,70,70,70,70,70,236583131,17 22 16.026,-26 41 32.11,1,17.292,,,,17221602-2641321,STAR,JHK,rpm,-20,16,-56,3,,,,,,,,,,,,,15.255,0.038,14.561,0.054,14.461,0.088,4165,211,528,4.949,0.09,0.126,-0.695,0.56,0.4,0.327,0.107,0.094,0.386,0.108,0.135,9.624,6.165,4.311,405.4,142.7,139.7,0.258,0.133,0.095,ABB-222-111-ccc-0-0,4.4,0633-0570395
71,71,71,71,71,71,236583302,17 23 46.658,-26 41 29.86,1,11.84,,,,17234665-2641298,STAR,J,col,,,,,,,,,,,,,,,,,10.158,0.024,8.89,0.024,8.24,0.024,4649,95,114,2.019,0.18,0.12,0.249,0.18,0.15,30.694,6.55,6.977,3.948,0.398,0.796,1.20E-04,1.18E-04,4.40E-05,4936,874,1373,3.925,0.187,0.164,AAA-221-111-000-0-0,7.6,0633-0574416
72,72,72,72,72,72,236589382,17 22 19.099,-26 40 08.55,1,9.951,,6833-449-1,317-112983,17221909-2640084,STAR,gri,plx,0.7,1.8,-21.2,1.7,,,10.888,0.055,10.279,0.045,10.541,0.04,9.98,0.08,9.698,0.14,8.401,0.023,8.183,0.04,8.004,0.021,6549,392,117,3.61,0.06,0.06,0.114,0.06,0.1,3.583,0.301,0.33,1.991,0.102,0.183,0.041,0.009,0.008,336.7,28.19,28.19,0.426,0.154,0.143,AAA-111-111-00d-0-0,6.8,
73,73,73,73,73,73,236589531,17 19 50.683,-26 40 06.59,1,11.308,,,317-112412,17195068-2640065,STAR,gri,rpm,-2.8,1.3,-9,1.8,,,12.537,0.01,11.712,0.03,12.118,0.02,11.42,0.03,10.96,0.05,9.668,0.025,9.302,0.031,9.12,0.027,5479,787,164,2.515,1.148,0.07,-1.133,1.26,0.12,8.493,0.949,5.355,0.885,0.817,0.018,0.001,0.051,3.27E-04,1103,75.61,621.4,0.368,0.125,0.078,AAA-222-121-0c0-0-0,4.6,
74,74,74,74,74,74,236592382,17 22 06.049,-26 39 28.99,1,11.839,,,317-112950,17220604-2639289,STAR,J,rpm,-5.4,3.3,-8.2,3.3,,,,,,,,,,,,,10.157,0.023,8.997,0.024,8.529,0.019,3258,166,138,0.074,0.3,0.5,0.366,0.09,0.39,129.736,36.935,28.75,1.076,0.155,0.022,2.85E-07,4.15E-07,2.38E-07,9433,4152,2036,1.234,0.007,0.208,AAA-222-111-000-0-0,9.3,
75,75,75,75,75,75,236594621,17 21 43.674,-26 39 00.51,1,17.486,,,,17214367-2639005,STAR,J,,,,,,,,,,,,,,,,,,15.991,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDU-220-110-000-0-0,8.8,0633-0568940
76,76,76,76,76,76,236597151,17 23 50.096,-26 38 27.05,1,12.6,,,317-113429,17235008-2638269,STAR,gri,rpm,-67.5,2.6,-110.7,2.5,,,14.417,0.07,13.115,0.11,13.761,0.03,12.55,0.03,12.103,0.11,10.384,0.021,9.8,0.026,9.615,0.025,4085,608,380,4.84,0.155,0.186,-0.158,0.25,0.65,0.413,0.201,0.135,0.47,0.205,0.205,5.38,6.123,2.864,98.16,66.25,30.25,0.061,0.066,0.022,AAA-222-111-000-0-0,8.4,
77,77,77,77,77,77,236599889,17 15 09.079,-26 37 51.31,1,12.674,,,317-110552,17150908-2637512,STAR,gri,rpm,22,1.5,-42.4,1.6,,,14.081,0.045,13.028,0.032,13.542,0.032,12.638,0.041,12.301,0.04,10.835,0.022,10.337,0.027,10.206,0.023,5002,308,192,4.593,0.03,0.066,-0.086,0.18,0.3,0.751,0.09,0.069,0.801,0.069,0.081,1.856,0.365,0.395,280,107.9,88.59,0.186,0.197,0.123,AAA-222-112-00c-0-0,5.6,
78,78,78,78,78,78,236601392,17 22 31.891,-26 37 31.13,1,11.779,,,317-113033,17223188-2637312,STAR,gri,rpm,18.1,1.5,-0.6,2,,,12.939,0.01,12.108,0.03,12.511,0.01,11.816,0.04,11.466,0.14,10.081,0.023,9.721,0.024,9.566,0.023,5734,371,232,3.907,0.528,0.165,-0.178,0.24,0.48,1.921,0.437,1.002,1.048,0.297,0.135,0.158,0.963,0.079,399.9,297,170.4,0.302,0.176,0.059,AAA-222-111-000-0-0,6.1,
79,79,79,79,79,79,236601669,17 23 28.701,-26 37 27.67,1,13.156,,,317-113355,17232870-2637276,STAR,gri,rpm,-6.1,2.2,-5.5,2.2,,,15.024,0.09,13.74,0.08,14.41,0.02,13.23,0.08,12.619,0.12,10.934,0.028,10.382,0.031,10.197,0.032,4848,330,206,2.465,0.559,0.065,-0.296,0.4,0.56,9.369,1.817,3.865,1.102,0.643,0.23,0.001,0.007,3.45E-04,1830,290.5,696.3,0.558,0.254,0.191,AAA-222-111-000-0-0,6.8,
80,80,80,80,80,80,236603783,17 20 51.081,-26 37 00.53,1,10.523,,6833-369-1,317-112705,17205109-2637006,STAR,gri,plx,16.5,2.8,-20.9,2.5,,,11.186,0.079,10.543,0.067,11.167,0.01,10.631,0.19,10.247,0.17,8.767,0.023,8.432,0.024,8.294,0.034,5848,211,176,3.956,0.08,0.096,-0.076,0.2,0.2,1.867,0.228,0.203,1.166,0.118,0.118,0.169,0.067,0.041,205.7,9.54,9.54,0.142,0.054,0.041,AAA-111-111-000-0-0,14,
81,81,81,81,81,81,236604861,17 15 08.694,-26 36 47.14,1,14.79,,,317-110549,17150869-2636470,STAR,JHK,rpm,-27.7,3.1,-75,3.2,,,,,,,,,,,,,12.411,0.022,11.766,0.025,11.511,0.023,3844,414,345,4.911,0.138,0.138,-0.163,0.2,0.4,0.369,0.111,0.139,0.39,0.138,0.193,7.732,9.982,3.58,135.6,73.08,53.6,0.09,0.072,0.048,AAA-222-111-000-0-0,8.7,
82,82,82,82,82,82,236605921,17 20 00.937,-26 36 33.52,1,8.795,,6833-446-1,317-112446,17200093-2636332,STAR,gri,plx,-8.6,1.5,-21.7,1.5,,,8.719,0.018,8.274,0.013,9.679,0.03,9.07,0.04,8.415,0.45,7.195,0.018,7.051,0.04,6.943,0.02,6997,69,816,3.658,0.02,0.02,0.19,0.05,0.05,3.585,0.072,0.396,2.123,0.042,0.367,0.046,0.008,0.003,233.5,19.9,19.9,0.186,0.005,0.002,AAA-111-111-000-0-0,15.2,
83,83,83,83,83,83,236606112,17 25 30.781,-26 36 30.77,1,10.043,,6833-490-1,317-113640,17253078-2636307,STAR,gri,plx,-3.4,2,-17.1,2.1,,,10.859,0.056,10.378,0.052,10.515,0.01,10.094,0.03,9.841,0.07,8.703,0.024,8.449,0.029,8.346,0.021,6344,188,150,3.789,0.084,0.042,0.018,0.1,0.1,2.699,0.208,0.322,1.638,0.103,0.064,0.083,0.031,0.011,304.4,22.47,22.47,0.201,0.106,0.058,AAA-112-111-000-0-0,7.9,
84,84,84,84,84,84,236607283,17 18 31.350,-26 36 14.91,1,16.667,,,,17183134-2636149,STAR,JHK,rpm,-48,19,-62,0,,,,,,,,,,,,,14.754,0.045,14.255,0.048,13.997,0.06,3255,409,245,5.119,0.08,0.096,-0.08,0.3,0.36,0.172,0.07,0.03,0.151,0.089,0.033,25.5,15.29,10.76,133.9,79.1,43.96,0.075,0.06,0.03,AAA-222-111-000-0-0,7.8,0633-0561048
85,85,85,85,85,85,236608162,17 22 11.931,-26 36 03.30,1,12.864,,,317-112967,17221192-2636033,STAR,gri,rpm,-2.2,2.2,-83.8,2.7,,,15.286,0.1,13.812,0.03,14.588,0.04,13.286,0.14,12.125,0.12,10.103,0.023,9.486,0.025,9.233,0.026,3823,238,179,4.904,0.075,0.075,0.002,0.15,0.12,0.376,0.092,0.063,0.41,0.098,0.098,7.527,3.709,2.485,69.54,61.57,9.14,0.056,0.042,0.019,AAA-222-111-000-0-0,6.7,
86,86,86,86,86,86,236609578,17 19 40.669,-26 35 45.20,1,11.13,,6833-540-1,318-118446,17194067-2635452,STAR,gri,plx,-5.4,3,-43.4,2.7,,,11.784,0.137,11.002,0.099,11.889,0.03,11.192,0.03,10.805,0.01,9.59,0.022,9.208,0.024,9.069,0.021,5758,322,276,3.995,0.33,0.15,-0.059,0.12,0.24,1.664,0.264,0.53,1.082,0.022,0.031,0.225,0.427,0.099,214.5,10.31,10.31,0.235,0.197,0.066,AAA-222-111-000-0-0,11.5,
87,87,87,87,87,87,236609626,17 14 22.979,-26 35 44.54,1,10.062,,6820-440-1,318-114994,17142298-2635445,STAR,BV,plx,-5.2,1.8,-4.3,1.9,,,10.431,0.038,10.077,0.04,,,,,,,8.859,0.023,8.725,0.022,8.661,0.021,18389,9584,5324,3.49,0.368,0.138,0.111,0.1,0.16,7.774,2.531,1.627,8.54,6.485,3.603,0.017,0.024,0.008,1721,667.1,667.1,1.155,0.151,0.281,AAA-122-111-000-0-0,5.6,
88,88,88,88,88,88,236610068,17 24 13.532,-26 35 38.36,1,15.671,,,,17241353-2635383,STAR,JHK,rpm,-52,2,-112,2,,,,,,,,,,,,,12.925,0.023,12.113,0.024,11.786,0.025,3805,514,428,4.993,0.132,0.154,-0.383,0.4,0.56,0.261,0.128,0.086,0.272,0.187,0.117,12.13,10.98,6.534,114.2,89.25,43.62,0.086,0.053,0.053,AAA-222-111-000-0-0,7.3,0634-0565481
89,89,89,89,89,89,236610691,17 12 11.285,-26 35 29.52,1,11.568,,6820-578-1,,,STAR,BV,,,,,,,,12.827,0.335,11.758,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,90,90,90,90,90,236613587,17 14 13.978,-26 34 52.20,1,14.554,,,318-114869,17141397-2634521,STAR,JHK,rpm,2.6,4.6,11.9,4.7,,,,,,,,,,,,,12.039,0.034,11.291,0.038,11.077,0.041,4570,217,217,2.287,0.318,0.848,-0.24,0.45,0.72,12.724,15.999,3.178,1.043,0.46,0.177,5.50E-04,8.57E-04,5.17E-04,3563,4547,815,0.843,0.238,0.381,AAA-222-222-ccc-0-0,4.1,
91,91,91,91,91,91,236613772,17 23 35.290,-26 34 49.85,1,12.543,,,318-121087,17233529-2634496,STAR,gri,rpm,13.2,1.8,-50.8,1.9,,,13.962,0.05,12.934,0.05,13.426,0.02,12.555,0.05,12.164,0.11,10.631,0.022,10.15,0.025,9.99,0.023,5032,324,270,4.586,0.048,0.08,-0.086,0.18,0.33,0.756,0.09,0.096,0.807,0.061,0.109,1.878,0.497,0.505,240.9,102.5,46.17,0.162,0.247,0.078,AAA-222-111-000-0-0,8.8,
92,92,92,92,92,92,236615364,17 26 59.805,-26 34 29.41,1,16.806,,,,17265980-2634294,STAR,JHK,rpm,-10,2,-12,8,,,,,,,,,,,,,14.513,0.054,13.881,0.061,13.642,0.065,4942,294,353,2.427,0.384,0.08,-0.584,0.56,0.4,9.591,1.421,3.077,0.941,0.11,0.069,9.79E-04,0.002,2.70E-04,8653,989,2399,0.925,0.308,0.37,AAA-222-111-ccc-0-0,7,0634-0574865
93,93,93,93,93,93,236622338,17 20 30.706,-26 32 59.19,1,8.017,84851,6833-404-1,318-119194,17203070-2632592,STAR,gri,plx,-24.91,0.73,-5.86,0.39,8.08,0.66,8.03,0.016,7.083,0.01,9.47,0.03,8.589,0.03,7.395,0.06,5.495,0.021,,,4.951,0.016,4429,829,592,0.696,1.89,0.42,0.066,0.24,0.32,194.514,162.719,181.107,7.78,4.36,5.814,7.13E-07,7.99E-04,5.38E-07,122.2,4.266,4.266,0,0,0,AEA-111-111-00d-0-0,13.1,
94,94,94,94,94,94,236623016,17 12 45.374,-26 32 49.87,1,13.653,,,318-113954,17124537-2632497,STAR,gri,rpm,-27.2,7,-26.8,2.3,,,16.476,0.08,14.565,0.04,15.647,0.1,13.799,0.04,12.798,0.03,10.832,0.045,9.838,0.033,9.493,0.026,3699,353,36,0.807,0.02,0.1,-0.077,0.05,0.88,66.15,3.182,1.323,1.025,0.02,0.132,3.54E-06,2.12E-07,8.54E-07,8444,253.3,387.5,0.542,0.774,0.001,AAA-222-111-000-0-0,4.2,
95,95,95,95,95,95,236624316,17 15 14.474,-26 32 33.06,1,11.321,,6820-244-1,318-115519,,STAR,BV,,23.1,3.1,-5.5,3.1,,,12.305,0.257,11.505,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,96,96,96,96,96,236625489,17 19 34.669,-26 32 17.78,1,12.005,,,318-118357,17193466-2632177,STAR,gri,rpm,7.2,1.7,-44.8,1.8,,,13.49,0.01,12.444,0.03,12.972,0.01,12.068,0.04,11.59,0.5,10.545,0.037,10.087,0.05,9.958,0.053,5102,154,216,4.555,0.066,0.055,0.004,0.12,0.24,0.773,0.092,0.083,0.838,0.053,0.096,1.666,0.5,0.327,302,83.47,107.4,0.203,0.068,0.068,AAA-222-111-000-0-0,5.6,
97,97,97,97,97,97,236626825,17 22 10.469,-26 31 59.75,1,12.057,,,318-120249,17221047-2631597,STAR,gri,rpm,-34.5,3.6,-25,2,,,13.464,0.04,12.454,0.06,12.953,0.02,12.064,0.03,11.673,0.17,10.436,0.027,9.945,0.032,9.78,0.027,5037,121,60,4.535,0.066,1.045,-0.176,0.25,0.35,0.814,2.185,0.101,0.876,0.134,0.112,1.504,0.506,1.467,325.9,100.2,143.5,0.244,0.081,0.097,AAA-222-111-000-0-0,7.1,
98,98,98,98,98,98,236627176,17 18 26.406,-26 31 55.00,1,10.602,,6833-543-1,318-117089,17182640-2631549,STAR,gri,plx,3.1,2.2,-0.6,2,,,10.834,0.057,10.735,0.078,10.7,0.04,10.57,0.02,10.506,0.02,9.731,0.023,9.676,0.027,9.57,0.025,8521,893,744,3.858,0.095,0.095,0.058,0.12,0.12,2.91,0.422,0.319,2.352,0.225,0.27,0.088,0.04,0.027,584.9,80.89,80.89,0.48,0.112,0.167,AAA-222-111-000-0-0,6.1,
99,99,99,99,99,99,236627279,17 12 29.866,-26 31 53.83,1,11.901,,,318-113719,17122986-2631538,STAR,gri,rpm,13.5,1.1,-37.9,1.2,,,12.927,0.02,12.138,0.02,12.522,0.03,11.9,0.02,11.634,0.04,10.582,0.026,10.203,0.026,10.143,0.022,5763,306,306,4.393,0.125,0.275,-0.111,0.16,0.48,1.034,0.348,0.222,0.983,0.081,0.163,0.879,0.476,0.547,306.4,171.7,97.15,0.233,0.144,0.108,AAA-222-111-000-0-0,8,
100,100,100,100,100,100,236627354,17 14 05.820,-26 31 52.78,1,10.761,,,318-114774,17140582-2631527,STAR,gri,rpm,0.1,1.1,-29.4,1.1,,,11.71,0.03,10.93,0.04,11.265,0.01,10.711,0.04,10.544,0.04,9.763,0.026,9.447,0.029,9.356,0.029,5944,183,183,4.126,0.282,0.235,-0.033,0.18,0.15,1.433,0.575,0.466,1.145,0.155,0.129,0.345,0.587,0.194,256.8,85.48,89.91,0.172,0.102,0.073,AAA-222-222-ccc-0-0,5.3,
101,101,101,101,101,101,236627402,17 27 23.332,-26 31 52.26,1,13.471,,,318-122385,17272333-2631520,STAR,gri,rpm,-44.9,2.6,-55.5,2.6,,,15.271,0.07,14.027,0.05,14.754,0.03,13.629,0.05,12.922,0.06,11.29,0.021,10.833,0.024,10.63,0.02,3904,339,123,4.888,0.048,0.096,-0.086,0.15,0.24,0.393,0.1,0.042,0.439,0.112,0.061,6.971,1.907,2.365,102,55.28,35.86,0.062,0.044,0.022,AAA-222-111-000-0-0,10,
102,102,102,102,102,102,236629608,17 26 59.556,-26 31 22.39,1,13.179,,,318-122226,17265953-2631223,STAR,J,rpm,-65.5,22,-57.2,8.2,,,,,,,,,,,,,11.68,0.029,11.014,0.034,10.563,0.026,7570,9283,75,0.825,2.464,0.02,0.079,0.12,0.05,90.046,1.801,79.25,1.982,6.157,0.04,2.71E-06,0.007,1.63E-07,13570,407,9315,3.201,0.512,0.001,AAA-222-111-000-0-0,8.1,
103,103,103,103,103,103,236633402,17 15 05.599,-26 30 33.96,1,16.012,,,,17150559-2630339,STAR,JHK,rpm,-6,4,-40,7,,,,,,,,,,,,,13.54,0.022,12.772,0.023,12.494,0.028,4683,153,269,2.362,0.231,0.105,0.109,0.4,0.64,12.097,3.273,1.989,1.041,1.904,0.119,7.26E-04,2.42E-04,2.41E-04,6146,2035,1067,1.113,0.304,0.26,AAA-222-111-000-0-0,8.1,0634-0533664
104,104,104,104,104,104,236633462,17 23 37.863,-26 30 33.27,1,13.316,,,,17233786-2630332,STAR,J,col,,,,,,,,,,,,,,,,,11.849,0.023,10.049,0.026,8.852,0.035,16966,10085,6723,3.514,0.234,0.195,0.376,0.15,0.15,8.056,2.203,2.029,7.784,7.39,4.926,0.016,0.011,0.009,5531,2957,1660,9.747,0.252,0.554,AAA-222-111-000-0-0,7.2,0634-0563854
105,105,105,105,105,105,236634195,17 15 21.865,-26 30 23.72,1,14.814,,,318-115628,17152187-2630238,STAR,JHK,rpm,-2.1,3.8,3,5.4,,,,,,,,,,,,,12.309,0.026,11.471,0.023,11.251,0.023,4401,221,221,1.926,0.497,0.426,-0.133,0.4,0.64,17.352,9.872,6.292,1.075,0.418,0.167,1.55E-04,6.46E-04,1.17E-04,5297,2413,2165,0.956,0.27,0.27,AAA-222-111-000-0-0,7.4,
106,106,106,106,106,106,236635640,17 21 25.982,-26 30 04.47,1,8.252,84931,6833-443-1,318-119735,17212597-2630043,STAR,gri,plx,-3.4,0.66,-19.46,0.35,6.78,0.61,7.634,0.016,7.536,0.011,8.539,0.77,8.034,0.64,8.128,0.2,7.268,0.018,7.219,0.023,7.157,0.026,7851,1150,575,4.111,0.138,0.138,0.033,0.12,0.12,1.905,0.449,0.297,1.848,0.525,0.263,0.238,0.148,0.105,167.9,10.96,10.96,0.105,0.058,0.032,AAA-111-111-000-0-0,14.2,
107,107,107,107,107,107,236635971,17 19 40.696,-26 30 00.35,1,13.373,,,318-118447,17194069-2630002,STAR,gri,rpm,3.5,2.2,-10.7,2.2,,,15.111,0.04,13.789,0.04,14.447,0.02,13.281,0.05,12.913,0.35,11.139,0.026,10.558,0.027,10.409,0.027,4827,319,199,2.498,0.945,0.162,-0.156,0.16,0.76,8.555,3.103,4.995,1.086,0.245,0.204,0.001,0.027,5.59E-04,1845,547.1,1034,0.517,0.246,0.197,AAA-222-111-000-0-0,4.5,
108,108,108,108,108,108,236636518,17 20 54.646,-26 29 53.10,1,11.372,,6833-383-1,318-119469,17205464-2629531,STAR,gri,plx,-16.4,4.3,-31.4,4,,,12.202,0.284,10.879,0.094,12.135,0.01,11.433,0.18,11.044,0.2,9.5,0.023,9.063,0.024,8.933,0.025,5495,162,194,4.5,0.045,0.072,0.018,0.12,0.21,0.9,0.095,0.062,0.967,0.057,0.057,1.273,0.24,0.273,171.4,7.191,7.191,0.115,0.062,0.031,AAA-222-111-000-0-0,10.8,
109,109,109,109,109,109,236638226,17 12 33.653,-26 29 31.05,1,13.377,,,318-113788,17123365-2629310,STAR,BV,rpm,-3.2,2.3,-7.7,2,,,14.994,0.03,13.642,0.1,14.439,0.11,,,,,11.404,0.024,10.84,0.024,10.73,0.025,4868,231,115,2.574,0.836,0.38,-0.506,0.45,0.54,8.179,3.731,4.776,0.995,0.293,0.113,0.002,0.02,0.001,1950,827.6,1044,0.359,0.16,0.114,AAA-222-111-000-0-0,8.6,
110,110,110,110,110,110,236638273,17 20 20.041,-26 29 30.46,1,14.26,,,318-119066,17202003-2629305,STAR,JHK,rpm,-12.8,3.8,-13.5,2.9,,,,,,,,,,,,,12.963,0.053,12.628,0.069,12.478,0.075,5930,240,336,4.31,0.168,0.224,-0.159,0.25,0.4,1.124,0.393,0.217,0.983,0.139,0.116,0.625,0.588,0.337,758.9,241.5,183.2,0.33,0.162,0.116,AAA-222-111-000-0-0,7.5,
111,111,111,111,111,111,236639006,17 15 30.347,-26 29 20.80,1,15.596,,,318-115713,17153033-2629208,STAR,JHK,rpm,-60,31,-80,20,,,,,,,,,,,,,13.097,0.051,12.433,0.053,12.145,0.048,3869,753,289,4.94,0.102,2.363,-0.159,0.25,0.5,0.323,9.385,0.08,0.339,0.583,0.105,9.603,5.971,9.602,133.2,4238,40.95,0.128,0.558,0.074,AAA-222-222-ccc-0-0,5,0635-0524384
112,112,112,112,112,112,236639184,17 23 07.705,-26 29 18.55,1,16.484,,,,17230770-2629185,STAR,J,,,,,,,,,,,,,,,,,,15.059,0.06,14.548,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,ABU-220-110-cc0-0-0,5.1,0635-0553884
